# id,dateadded,url,url_status,last_online,threat,tags,urlhaus_link
3514527,4/17/25 6:05,http://45.141.215.22/twitch.zip,offline,4/17/25 12:36,malware_download,"ClickFix,FakeCaptcha,opendir,zip",https://urlhaus.abuse.ch/url/3514527/
3514512,4/17/25 6:00,https://twitch.ist/,offline,4/17/25 7:06,malware_download,"ClickFix,FakeCaptcha,html",https://urlhaus.abuse.ch/url/3514512/
3514511,4/17/25 6:00,http://45.141.215.22/twitch/,offline,4/17/25 12:38,malware_download,"ClickFix,FakeCaptcha,html,opendir",https://urlhaus.abuse.ch/url/3514511/
3511792,4/15/25 9:27,https://booking.lostitemshok.com/sign-in?op_token=zXj81EgVvYXV0aCKyAQoUNlo3Mm9IT2QzNk5uN3prM3BpcmgSCWF1dGhvcml6ZRoaaHR0cHM6Ly9hZG1pbi5ib29raW5nLmNvbS8qOnsiYXV0aF9hdHRlbXB0X2lkIjoiYjEzZGNlMjQtMGM5OS00YjJlLThiOGUtNjI0NjllN2Y1ZGQ5In0yK1lHOEtPZGcwYXplS1N1OG5VZ25uQ3pSci1MYkt5TXFxaVNWanNsMjV4WnM6BFMyNTZCBGNvZGUqEzCSipujlK4nOgBCAFjd1NXosDI,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3511792/
3511793,4/15/25 9:27,https://booking.lostitemshok.com,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3511793/
3511797,4/15/25 9:27,https://bkngvrfy.click/,offline,4/15/25 9:27,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3511797/
3511784,4/15/25 9:27,https://lostitemshok.com/,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3511784/
3511788,4/15/25 9:27,https://bkngvrfy.click/LUnPAB?s=4,offline,4/15/25 9:27,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3511788/
3510644,4/14/25 7:09,http://92.255.85.2/nums.bat,offline,4/17/25 12:40,malware_download,"booking,ClickFix,FakeCaptcha,xworm",https://urlhaus.abuse.ch/url/3510644/
3510645,4/14/25 7:09,http://92.255.85.2/num.bat,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3510645/
3510643,4/14/25 7:09,http://92.255.85.2/pixel.exe,offline,4/17/25 13:15,malware_download,"booking,ClickFix,FakeCaptcha,xworm",https://urlhaus.abuse.ch/url/3510643/
3510639,4/14/25 7:09,https://clcktyv3.com/uKxh8q?s=4,offline,4/14/25 22:53,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3510639/
3510640,4/14/25 7:09,https://reservalost.com/,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3510640/
3510641,4/14/25 7:09,https://booking.reservalost.com/,offline,,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3510641/
3510642,4/14/25 7:09,http://92.255.85.2/rc.mp4,offline,4/17/25 10:44,malware_download,"booking,ClickFix,FakeCaptcha,xworm",https://urlhaus.abuse.ch/url/3510642/
3510638,4/14/25 7:09,https://clcktyv3.com/,offline,4/15/25 8:38,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3510638/
3508759,4/12/25 16:18,https://cpthclks.info/ETF22T38YgYRH7,offline,4/12/25 16:18,malware_download,"booking,ClickFix,FakeCaptcha",https://urlhaus.abuse.ch/url/3508759/
3508758,4/12/25 16:18,http://77.223.119.85/rxm.exe,offline,4/17/25 12:33,malware_download,"booking,ClickFix,dcrat,FakeCaptcha",https://urlhaus.abuse.ch/url/3508758/
3507703,4/11/25 12:02,http://signin.clouddomainservice.com/help.exe,offline,4/11/25 12:44,malware_download,"ClickFix,FakeCaptcha,Sliver",https://urlhaus.abuse.ch/url/3507703/
3507695,4/11/25 12:01,http://signin.clouddomainservice.com/a.txt,offline,4/11/25 13:13,malware_download,"ClickFix,FakeCaptcha,Sliver",https://urlhaus.abuse.ch/url/3507695/
3506324,4/10/25 6:27,https://egifts.quest/ibla.ogg,offline,4/10/25 6:27,malware_download,"ClickFix,FakeCaptcha,hta,LummaStealer",https://urlhaus.abuse.ch/url/3506324/
3506320,4/10/25 6:27,https://your-web-page.fly.storage.tigris.dev/loading-for-last-steps.html,offline,4/10/25 16:50,malware_download,"ClickFix,FakeCaptcha,html,LummaStealer",https://urlhaus.abuse.ch/url/3506320/
